"id","periode_id","bi_rate"
1,1,4.75
2,2,4.75
3,3,4.75
4,4,4.75
5,5,4.75
6,6,4.75
7,7,4.75
8,8,4.50
9,9,4.25
10,10,4.25
11,11,4.25
12,12,4.25
13,13,4.25
14,14,4.25
15,15,4.25
16,16,4.25
17,17,4.75
18,18,5.25
19,19,5.25
20,20,5.50
21,21,5.75
22,22,5.75
23,23,6.00
24,24,6.00
25,25,6.00
26,26,6.00
27,27,6.00
28,28,6.00
29,29,6.00
30,30,6.00
31,31,5.75
32,32,5.50
33,33,5.25
34,34,5.00
35,35,5.00
36,36,5.00
37,37,5.00
38,38,4.75
39,39,4.50
40,40,4.50
41,41,4.50
42,42,4.25
43,43,4.00
44,44,4.00
45,45,4.00
46,46,4.00
47,47,3.75
48,48,3.75
49,49,3.75
50,50,3.50
51,51,3.50
52,52,3.50
53,53,3.50
54,54,3.50
55,55,3.50
56,56,3.50
57,57,3.50
58,58,3.50
59,59,3.50
60,60,3.50
61,61,3.50
62,62,3.50
63,63,3.50
64,64,3.50
65,65,3.50
66,66,3.50
67,67,3.50
68,68,3.75
69,69,4.25
70,70,4.75
71,71,5.25
72,72,5.50
73,73,5.75
74,74,5.75
75,75,5.75
76,76,5.75
77,77,5.75
78,78,5.75
79,79,5.75
80,80,5.75
81,81,5.75
82,82,6.00
83,83,6.00
84,84,6.00
85,85,6.00
86,86,6.00
87,87,6.00
88,88,6.25
89,89,6.25
90,90,6.25
91,91,6.25
92,92,6.25
93,93,6.00
94,94,6.00
95,95,6.00
96,96,6.00
97,97,5.75
98,98,5.75
99,99,5.75
100,100,5.75
101,101,5.50
102,102,5.50
103,103,5.25
104,104,5.00
105,105,4.75
106,106,4.75
107,107,4.75
108,108,4.75
109,109,4.75
110,110,4.75
111,111,4.75
112,112,4.75
113,113,5.25
114,114,5.50
