"id","periode_id","inflasi_yoy"
1,1,3.49
2,2,3.83
3,3,3.61
4,4,4.17
5,5,4.33
6,6,4.37
7,7,3.88
8,8,3.82
9,9,3.72
10,10,3.58
11,11,3.30
12,12,3.61
13,13,3.25
14,14,3.18
15,15,3.40
16,16,3.41
17,17,3.23
18,18,3.12
19,19,3.18
20,20,3.20
21,21,2.88
22,22,3.16
23,23,3.23
24,24,3.13
25,25,2.82
26,26,2.57
27,27,2.48
28,28,2.83
29,29,3.32
30,30,3.28
31,31,3.32
32,32,3.49
33,33,3.39
34,34,3.13
35,35,3.00
36,36,2.72
37,37,2.68
38,38,2.98
39,39,2.96
40,40,2.67
41,41,2.19
42,42,1.96
43,43,1.54
44,44,1.32
45,45,1.42
46,46,1.44
47,47,1.59
48,48,1.68
49,49,1.55
50,50,1.38
51,51,1.37
52,52,1.42
53,53,1.68
54,54,1.33
55,55,1.52
56,56,1.59
57,57,1.60
58,58,1.66
59,59,1.75
60,60,1.87
61,61,2.18
62,62,2.06
63,63,2.64
64,64,3.47
65,65,3.55
66,66,4.35
67,67,4.94
68,68,4.69
69,69,5.95
70,70,5.71
71,71,5.42
72,72,5.51
73,73,5.28
74,74,5.47
75,75,4.97
76,76,4.33
77,77,4.00
78,78,3.52
79,79,3.08
80,80,3.27
81,81,2.28
82,82,2.56
83,83,2.86
84,84,2.61
85,85,2.57
86,86,2.75
87,87,3.05
88,88,3.00
89,89,2.84
90,90,2.51
91,91,2.13
92,92,2.12
93,93,1.84
94,94,1.71
95,95,1.55
96,96,1.57
97,97,0.76
98,98,-0.09
99,99,1.03
100,100,1.95
101,101,1.60
102,102,1.87
103,103,2.37
104,104,2.31
105,105,2.65
106,106,2.86
107,107,2.72
108,108,2.92
109,109,3.55
110,110,4.76
111,111,3.48
112,112,2.42
113,113,3.08
114,114,
