"id","periode_id","kurs_usdidr_avg"
1,1,13358.71
2,2,13340.84
3,3,13345.50
4,4,13306.82
5,5,13323.35
6,6,13296.87
7,7,13342.10
8,8,13341.82
9,9,13303.47
10,10,13526.00
11,11,13527.36
12,12,13556.67
13,13,13380.36
14,14,13590.05
15,15,13758.29
16,16,13802.95
17,17,14059.70
18,18,14049.00
19,19,14414.50
20,20,14559.86
21,21,14868.74
22,22,15178.87
23,23,14696.86
24,24,14496.95
25,25,14163.14
26,26,14035.21
27,27,14211.00
28,28,14142.58
29,29,14392.81
30,30,14226.53
31,31,14043.91
32,32,14242.05
33,33,14111.10
34,34,14117.57
35,35,14068.71
36,36,14017.45
37,37,13732.23
38,38,13776.15
39,39,15194.57
40,40,15867.43
41,41,14906.19
42,42,14195.95
43,43,14582.41
44,44,14724.50
45,45,14847.95
46,46,14758.47
47,47,14236.81
48,48,14165.68
49,49,14061.90
50,50,14043.74
51,51,14417.23
52,52,14551.05
53,53,14333.53
54,54,14351.48
55,55,14507.38
56,56,14389.90
57,57,14257.64
58,58,14190.95
59,59,14270.27
60,60,14327.09
61,61,14340.67
62,62,14349.78
63,63,14348.09
64,64,14375.21
65,65,14615.47
66,66,14702.38
67,67,14983.33
68,68,14850.32
69,69,14989.00
70,70,15434.81
71,71,15665.36
72,72,15608.18
73,73,15266.67
74,74,15138.40
75,75,15288.19
76,76,14844.14
77,77,14827.14
78,78,14931.82
79,79,15044.35
80,80,15251.73
81,81,15366.70
82,82,15759.86
83,83,15598.64
84,84,15511.00
85,85,15627.36
86,86,15660.44
87,87,15711.39
88,88,16125.19
89,89,16082.56
90,90,16337.33
91,91,16257.30
92,92,15755.86
93,93,15324.80
94,94,15565.74
95,95,15819.90
96,96,16038.55
97,97,16270.16
98,98,16351.05
99,99,16455.68
100,100,16827.06
101,101,16418.41
102,102,16306.72
103,103,16286.35
104,104,16308.90
105,105,16523.19
106,106,16604.43
107,107,16704.85
108,108,16702.05
109,109,16831.90
110,110,16824.72
111,111,16924.47
112,112,17158.81
113,113,17577.19
114,114,18006.33
